"","id","version","classification.score.1","classification.score.2","give.trials","deception.score","INT","LIF","AFF","ANT","mach_total","nar_total","pers_sum","ref_sum","bor_total","lpa","lambda","eta","gamma","eta.gamma.ratio","alpha","beta"
"1",1,"comp",58,55,31,9.67741935483871,16,10,8,8,33,28,0,0,4,"3",4.06854055453416,0.417510386669445,0.51659390497038,0.808198437210334,1.87250411379385,-5.13346465605818
"2",2,"comp",58,52,33,0,10,18,18,8,18,30,0,1,1,"1",4.06144890522614,0.565193097912814,0.730769230716701,0.773422134041552,0.0536425514949444,-7.79785157849884
"3",3,"comp",58,55,36,2.77777777777778,8,8,8,8,20,26,0,1,9,"3",3.84703659021648,0.536627680784631,0.730769230732655,0.734332615847302,0.0563531711760928,-5.79340479371782
"4",4,"comp",57,57,31,87.0967741935484,13,13,14,8,21,20,2,9,25,"2",4.68784289110895,0.550221490607109,0.500649721769254,1.0990148734382,5.18419045296194,-8.61640257895149
"5",5,"comp",55,56,35,74.2857142857143,16,16,14,15,30,24,0,0,23,"1",4.4985188781446,0.437924725416803,0.409090903982297,1.07048267549785,3.68489809026728,-8.77540269696234
"6",6,"comp",54,59,30,23.3333333333333,18,11,21,8,37,23,0,4,36,"1",4.05446537023276,0.520595929426725,0.622475748919262,0.836331263234881,2.61788817099142,-3.0325679177992
"7",7,"comp",52,53,33,54.5454545454545,16,14,15,14,40,27,10,10,8,"4",4.09289656398342,0.589030354783006,0.558094789575906,1.05543066479909,3.76384334425573,-3.29070670760045
"8",8,"comp",58,59,43,90.6976744186046,14,16,17,17,20,18,11,14,41,"4",4.51170475812544,0.653827275573386,0.590909084506919,1.10647693988149,4.44303058709133,-8.50837838593257
"9",9,"comp",58,56,42,9.52380952380952,11,10,14,9,27,26,1,2,18,"1",4.25219105733297,0.51239150079595,0.595024810452478,0.861126278761905,1.98838732583058,-7.17018645020887
"10",10,"comp",59,59,26,0,12,10,13,9,23,27,0,0,17,"3",4.60620702831315,0.441589127426502,0.673242854761704,0.655913574578974,6.55236873884798,-7.42629572494333
"11",11,"comp",57,58,20,90,19,17,14,8,36,38,1,1,3,"1",4.21427485123739,0.554825775155204,0.461870153453495,1.20125920890679,1.88670959686029,-6.63896850582871
"12",12,"comp",47,48,36,36.1111111111111,14,15,18,11,11,25,0,6,31,"1",4.23333841123265,0.652663266468288,0.666666665995232,0.978994900688429,2.65073049223357,-6.76699382696674
"13",13,"comp",56,59,36,38.8888888888889,16,20,16,15,17,17,0,3,39,"1",4.1060305691626,0.654206141966589,0.666666659106973,0.981309224077479,1.92070709155622,-5.35002101194156
"14",14,"comp",50,48,53,3.77358490566038,10,12,11,7,19,33,0,0,1,"3",3.91711855600311,0.81444478630831,0.995432519131874,0.818181816099995,0.034223824664585,-6.87969861742871
"15",15,"comp",57,58,40,50,23,18,15,11,42,36,1,10,32,"4",4.25905532030024,0.933354611554805,0.926901625324998,1.0069618890004,0.96032045844019,-6.64666046769368
"16",16,"comp",56,54,45,24.4444444444444,7,9,9,8,18,27,0,11,7,"2",3.81302905622108,0.592756156286902,0.73861462951241,0.802524256361135,0.188636842590419,-1.84240811176666
"17",17,"comp",59,58,28,17.8571428571429,19,15,23,28,26,27,20,15,34,"4",4.19802753001824,0.626183174447742,0.678005936800473,0.923565916550401,1.97650682057844,-6.22404448378308
"18",18,"comp",46,45,21,4.76190476190476,12,13,12,9,27,28,0,0,10,"1",4.00506384101884,0.676165632318827,0.826424664485392,0.818181815446989,1.14755431801927,-4.6508624576721
"19",19,"comp",52,51,25,32,8,14,11,8,18,45,0,0,0,"3",4.09565154909232,0.91948125856346,0.975510943921347,0.942563755222817,0.00109381862525015,-3.3254516208713
"20",20,"comp",49,48,47,6.38297872340426,12,8,12,8,19,24,1,0,9,"3",4.31242450383096,0.637989591828826,0.730769228556637,0.873038391461744,2.38624997396361,-7.80778473242758
"21",21,"comp",61,61,33,54.5454545454545,7,8,8,8,19,23,0,0,6,"3",4.6018975542114,0.541199793221966,0.535736330351407,1.01019804437563,6.10443372899273,-7.97571657303039
