"","id","version","classification.score.1","classification.score.2","give.trials","deception.score","INT","LIF","AFF","ANT","mach_total","nar_total","pers_sum","ref_sum","bor_total","lpa","lambda","eta","gamma","eta.gamma","alpha","beta"
"1",1,"comp",58,55,31,9.67741935483871,16,10,8,8,33,28,0,0,4,"3",3.74462090458285,1.3408324390261,1.00517122587858,0.33566121314752,2.31291733815275,-5.65438545015372
"2",2,"comp",58,52,33,0,10,18,18,8,18,30,0,1,1,"1",4.1046588592639,0.72534696555435,0.436968803185623,0.288378162368727,0.042046106290836,-8.43716647498642
"3",3,"comp",58,55,36,2.77777777777778,8,8,8,8,20,26,0,1,9,"3",3.67792020435113,0.960826361159436,0.484753424221404,0.476072936938032,0.0647352218116693,-6.60428288424787
"4",4,"comp",57,57,31,87.0967741935484,13,13,14,8,21,20,2,9,25,"2",4.79895110052485,1.09774462262394,1.31758148695243,-0.21983686432849,4.37688938096489,-9.65748069668608
"5",5,"comp",55,56,35,74.2857142857143,16,16,14,15,30,24,0,0,23,"1",4.54844748305986,1.32014808249367,1.4690484743794,-0.14890039188573,3.54266429879177,-9.35153882949346
"6",6,"comp",54,59,30,23.3333333333333,18,11,21,8,37,23,0,4,36,"1",3.661054305656,1.25461752772513,1.0264715648495,0.22814596287563,1.71319456784693,-5.30018754804751
"7",7,"comp",52,53,33,54.5454545454545,16,14,15,14,40,27,10,10,8,"4",3.76453460552209,2.32896983729792,2.43700964248334,-0.10803980518542,2.24280140545901,-5.9158284422292
"8",8,"comp",58,59,43,90.6976744186046,14,16,17,17,20,18,11,14,41,"4",4.54523631741405,0.592047902194035,0.742687032632686,-0.150639130438651,4.15291854532566,-8.92865915487525
"9",9,"comp",58,56,42,9.52380952380952,11,10,14,9,27,26,1,2,18,"1",4.02775805992787,1.28040904591177,0.962671754071795,0.317737291839975,2.6595829027015,-6.99795866786314
"10",10,"comp",59,59,26,0,12,10,13,9,23,27,0,0,17,"3",4.81330369155777,1.63039190477065,0.975854623203936,0.654537281566714,4.83600722798795,-9.42997845412854
"11",11,"comp",57,58,20,90,19,17,14,8,36,38,1,1,3,"1",4.38100599655385,1.87622468793009,2.43700965171111,-0.56078496378102,2.32492421570818,-9.0757930745775
"12",12,"comp",47,48,36,36.1111111111111,14,15,18,11,11,25,0,6,31,"1",4.16201727623177,0.388046057003038,0.394655052737857,-0.00660899573481899,3.16549377599966,-7.55834261458675
"13",13,"comp",56,59,36,38.8888888888889,16,20,16,15,17,17,0,3,39,"1",3.83075641624661,0.87710096540308,0.868211736599454,0.00888922880362597,2.84235794397654,-5.21126694831361
"14",14,"comp",50,48,53,3.77358490566038,10,12,11,7,19,33,0,0,1,"3",3.60458427566266,1.0914889039474,0.69971524268362,0.39177366126378,0.0244542576792531,-8.56364347793306
"15",15,"comp",57,58,40,50,23,18,15,11,42,36,1,10,32,"4",3.66550971390882,0.941084666552977,0.967017791851993,-0.025933125299016,6.16945506209048e-08,-10.1807552510469
"16",16,"comp",56,54,45,24.4444444444444,7,9,9,8,18,27,0,11,7,"2",3.12658013371532,0.993831918007189,0.827961991418916,0.165869926588273,6.83501209466936e-08,-6.31972241053214
"17",17,"comp",59,58,28,17.8571428571429,19,15,23,28,26,27,20,15,34,"4",4.14676342425769,0.380360793114678,0.304457619375928,0.07590317373875,2.15183750509009,-8.08013075650108
"18",18,"comp",46,45,21,4.76190476190476,12,13,12,9,27,28,0,0,10,"1",3.98225235770597,0.221609787790739,2.51790477552634e-08,0.221609762611691,0.940193689134078,-7.8280866356486
"19",19,"comp",52,51,25,32,8,14,11,8,18,45,0,0,0,"3",3.21705821963015,0.953627936004809,0.951746663264033,0.00188127274077599,9.80058303029864e-08,-6.8656015726059
"20",20,"comp",49,48,47,6.38297872340426,12,8,12,8,19,24,1,0,9,"3",4.27837071145524,0.311200026575239,0.0495070070224349,0.261693019552804,1.84674669339303,-8.61182012428312
"21",21,"comp",61,61,33,54.5454545454545,7,8,8,8,19,23,0,0,6,"3",4.86582187229255,1.26998559217154,1.30277996338318,-0.0327943712116401,5.20088492574213,-9.22357448488006
"22",22,"comp",58,53,27,3.7037037037037,8,10,9,10,27,25,0,2,18,"1",3.80471304052898,0.643676265154104,0.179374539886713,0.464301725267391,1.71905593965203,-6.80107406160746
"23",23,"comp",57,59,50,6,22,19,15,18,27,24,18,16,27,"4",4.32350921150681,0.49441238759062,0.310468159357273,0.183944228233347,2.27226911814213,-8.54810158393893
"24",24,"comp",54,53,39,12.8205128205128,18,7,11,8,27,27,2,12,25,"2",3.67256764926379,0.804586450958346,0.607163996601466,0.19742245435688,0.994185369559749,-5.92583720409051
"25",25,"comp",60,60,36,0,9,10,10,8,21,21,2,3,17,"1",4.80634407503537,1.58128898334344,0.899952035464748,0.681336947878692,4.84435345695588,-9.39711520815366
"26",26,"comp",56,48,50,62,9,12,13,12,19,14,0,1,9,"1",2.55154100475581,0.453485102747267,0.856144497723249,-0.402659394975982,0.0045359364424106,-4.90452543532279
"27",27,"comp",56,56,30,6.66666666666667,10,10,11,12,26,27,2,2,9,"1",4.37416216505464,1.01496521593425,0.696852597111206,0.318112618823044,4.30862219257262,-6.96226873838782
"28",28,"comp",59,59,57,0,16,12,24,8,30,19,30,27,20,"4",4.07077374310405,0.905584917015728,0.521267169112599,0.384317747903129,0.338502259110752,-7.46733844683763
"29",29,"comp",47,48,58,3.44827586206897,15,20,7,8,37,36,26,12,40,"4",4.33483117736548,0.504594673618462,0.245365116895016,0.259229556723446,2.76373077541644,-8.74776748634213
"30",30,"comp",55,54,23,52.1739130434783,10,12,12,8,20,20,0,0,3,"3",4.1760097984538,0.0682949116654737,0.125059536814599,-0.0567646251491253,2.72152907365703,-8.20164045721928
"31",31,"comp",53,52,30,60,7,9,16,13,19,28,0,3,9,"1",3.79369768336059,0.903469643583691,0.925842059390129,-0.022372415806438,6.7996327595524e-08,-10.634234097947
"32",32,"comp",53,51,29,48.2758620689655,10,11,10,8,22,19,2,2,16,"1",3.94401376699616,1.69003353655486,1.70340793600343,-0.01337439944857,1.53404001133222,-7.34386877402238
"33",33,"comp",60,60,27,0,14,14,13,12,20,33,0,4,7,"1",4.79844771581027,1.43426969648224,0.769918212936422,0.664351483545818,4.94252203178088,-9.26269495349015
"34",34,"comp",54,53,37,5.40540540540541,12,12,18,8,34,18,4,6,19,"2",3.8576341530823,1.33484339404472,1.06875212003733,0.26609127400739,0.98484475877976,-6.39117449453917
"35",35,"comp",54,54,52,40.3846153846154,13,11,11,11,23,21,0,1,20,"1",3.79448464873698,1.00756893660696,0.989107359535324,0.018461577071636,2.33977879405895,-6.06330289339425
"36",36,"comp",61,61,44,11.3636363636364,7,10,9,8,19,31,10,8,6,"2",4.06446460421183,0.158225857363834,1.90698262857731e-08,0.158225838294008,2.66970699560766,-7.74948495200388
"37",37,"comp",59,56,41,63.4146341463415,14,14,14,16,20,22,0,0,1,"1",4.73782086473877,1.02955666286287,1.13426791336213,-0.10471125049926,3.21531928032337,-7.17576375271719
"38",38,"comp",52,52,37,10.8108108108108,11,10,7,8,21,23,0,1,18,"3",3.54401620467414,0.370561804131148,1.26122153026318e-07,0.370561678008995,1.88145116083998,-3.46118928150632
"39",39,"comp",49,54,33,30.3030303030303,11,9,10,9,18,20,0,4,16,"1",3.78399412941449,1.49834415207572,1.43496579409481,0.06337835798091,0.737140410063174,-6.53953650057527
"40",40,"comp",60,60,34,91.1764705882353,7,17,9,8,15,30,10,10,24,"2",4.05274755137808,0.654051670260358,1.15034057319305,-0.496288902932692,4.09345016340263,-5.88387869522081
"41",41,"comp",57,55,56,75,15,8,8,7,28,30,10,12,15,"2",3.71883538469221,1.1134019472183,1.3356612095072,-0.2222592622889,2.59585351756691,-5.42496212876256
"42",42,"comp",53,52,22,54.5454545454545,14,17,14,16,21,24,0,0,27,"1",4.15868323801679,0.011390924516303,0.0640808728011738,-0.0526899482848708,1.74444368804914,-8.43811040442361
"43",43,"comp",56,58,30,23.3333333333333,15,18,16,8,23,24,2,4,20,"1",4.00933388413504,0.625888345656258,0.532672664078455,0.0932156815778029,3.15894694296266,-6.89707698188455
"44",44,"comp",56,58,55,5.45454545454545,9,8,9,9,18,24,1,0,5,"3",4.30698179209318,0.394735436338875,0.204181468276963,0.190553968061912,2.85985889940438,-8.31705120162977
"45",45,"comp",50,53,39,7.69230769230769,8,13,13,8,24,24,1,2,26,"1",4.10878287888984,0.609589402397448,0.351710214218424,0.257879188179024,1.32999198866219,-7.65951085813973
"46",46,"comp",52,49,52,13.4615384615385,15,14,16,16,33,32,5,5,13,"1",3.78214553556056,0.953046825137495,0.618640027465843,0.334406797671652,0.450239724136013,-4.07702813894743
"47",47,"comp",51,53,23,21.7391304347826,7,13,8,9,30,44,3,11,1,"2",4.15250862949693,0.666744943913067,0.524756696939065,0.141988246974002,2.93163029064504,-6.95673773539568
"48",48,"comp",52,52,47,14.8936170212766,18,22,22,25,29,20,24,18,25,"4",4.21539123851771,0.926970469864572,0.778692038856317,0.148278431008255,2.36543772620194,-7.85605000992259
"49",49,"comp",59,58,41,12.1951219512195,7,13,7,8,17,21,0,0,11,"3",4.29246354509043,2.10120749449051,1.7937446538862,0.30746284060431,3.14050073301812,-8.64197802454437
"50",50,"comp",56,56,20,10,14,24,19,16,24,25,19,22,45,"4",4.33752953863789,1.0645767902496,0.774028607580887,0.290548182668713,3.0621745371962,-7.6821659648037
"51",51,"comp",58,58,59,3.38983050847458,14,14,17,16,27,32,0,0,26,"1",4.1724557861815,1.66513051539568,1.26135870142433,0.40377181397135,0.93163918594913,-8.47253268508999
"52",52,"comp",60,59,43,88.3720930232558,22,16,18,19,34,21,3,6,32,"4",4.57524778016485,0.621162607535968,0.768024746277547,-0.146862138741579,4.05205121654716,-9.11328790328911
"53",53,"comp",58,58,41,56.0975609756098,20,15,18,16,35,27,3,4,21,"1",3.94886443968197,1.12951442747092,1.21792803532971,-0.08841360785879,0.576392070053679,-7.1076287539697
"54",54,"comp",59,59,20,65,15,15,13,9,31,20,0,0,10,"1",4.87392329705238,0.749693291558463,0.82019285456548,-0.070499563007017,6.12568911980203,-8.06481797573435
"55",55,"comp",54,51,39,33.3333333333333,10,11,13,8,31,26,0,0,22,"3",3.78038155944519,0.766658930723439,0.662542623569575,0.104116307153864,1.62889522034973,-5.83714505733761
